,owner,project name,issue id,clone_link,clone_links
144,pybuilder,pybuilder,180,,https://github.com/pybuilder/pybuilder.git
145,inveniosoftware,invenio-accounts,197,,https://github.com/inveniosoftware/invenio-accounts.git
146,ansible,ansible-modules-core,3978,,https://github.com/ansible/ansible-modules-core.git
147,home-assistant,home-assistant,15491,,https://github.com/home-assistant/home-assistant.git
148,capitalone,cloud-custodian,879,,https://github.com/capitalone/cloud-custodian.git
149,beetbox,beets,2592,,https://github.com/beetbox/beets.git
150,saltstack,salt,41915,,https://github.com/saltstack/salt.git
151,KanoComputing,kano-burners,23,,https://github.com/KanoComputing/kano-burners.git
152,golemfactory,golem,1508,,https://github.com/golemfactory/golem.git
153,ansible,ansible,47589,,https://github.com/ansible/ansible.git
154,pantsbuild,pants,6847,,https://github.com/pantsbuild/pants.git
155,ansible,ansible,33602,,https://github.com/ansible/ansible.git
156,inveniosoftware,invenio,1750,,https://github.com/inveniosoftware/invenio.git
157,astropy,astropy,7435,,https://github.com/astropy/astropy.git
158,cherrypy,cherrypy,1404,,https://github.com/cherrypy/cherrypy.git
159,ansible,ansible,27978,,https://github.com/ansible/ansible.git
160,ansible,ansible,37581,,https://github.com/ansible/ansible.git
161,google,mobly,89,,https://github.com/google/mobly.git
162,ansible,ansible,31713,,https://github.com/ansible/ansible.git
163,ansible,ansible,33455,,https://github.com/ansible/ansible.git
164,inveniosoftware,invenio,3311,,https://github.com/inveniosoftware/invenio.git
165,ansible,ansible,30393,,https://github.com/ansible/ansible.git
166,pytroll,satpy,491,,https://github.com/pytroll/satpy.git
167,ubc,compair,586,,https://github.com/ubc/compair.git
168,ansible,ansible-modules-core,5372,,https://github.com/ansible/ansible-modules-core.git
169,pybuilder,pybuilder,150,,https://github.com/pybuilder/pybuilder.git
170,ansible,ansible,29196,,https://github.com/ansible/ansible.git
171,liqd,adhocracy3.mercator,632,,https://github.com/liqd/adhocracy3.mercator.git
172,voc,voctomix,37,,https://github.com/voc/voctomix.git
173,geopython,OWSLib,503,,https://github.com/geopython/OWSLib.git
174,TESScience,SPyFFI,9,,https://github.com/TESScience/SPyFFI.git
175,desihub,desitarget,178,,https://github.com/desihub/desitarget.git
176,letsencrypt,letsencrypt,395,,https://github.com/letsencrypt/letsencrypt.git
